Tilgjengelige seriellporter:
http://localhost:3000
COM34
Nettleser åpen
1272: (12:25) 39
1273: (12:25) 39
1274: (12:25) 40
1275: (12:25) 40
1276: (12:25) 39
1277: (12:25) 39
1278: (12:25) 40
1279: (12:25) 40
1280: (12:25) 40
1281: (12:25) 39
1282: (12:25) 39
1283: (12:25) 39
1284: (12:25) 40
1285: (12:25) 40
1286: (12:25) 40
1287: (12:25) 40
1288: (12:25) 39
1289: (12:25) 40
1290: (12:25) 40
1291: (12:25) 40
1292: (12:25) 40
1293: (12:25) 40
1294: (12:25) 40
1295: (12:25) 39
1296: (12:25) 40
1297: (12:25) 39
1298: (12:25) 39
1299: (12:25) 39
1300: (12:25) 39
1301: (12:25) 40
1302: (12:25) 40
1303: (12:25) 39
1304: (12:25) 39
1305: (12:25) 40
1306: (12:25) 40
1307: (12:25) 40
1308: (12:25) 40
1309: (12:25) 40
1310: (12:25) 40
1311: (12:25) 40
1312: (12:25) 40
1313: (12:25) 40
1314: (12:25) 40
1315: (12:25) 40
1316: (12:25) 40
1317: (12:25) 40
1318: (12:25) 40
1319: (12:25) 40
1320: (12:25) 40
1321: (12:25) 40
1322: (12:25) 40
1323: (12:25) 39
1324: (12:25) 39
1325: (12:25) 39
1326: (12:25) 39
1327: (12:25) 40
1328: (12:25) 40
1329: (12:25) 40
1330: (12:25) 40
1331: (12:25) 39
1332: (12:25) 39
1333: (12:25) 39
1334: (12:25) 39
1335: (12:25) 39
1336: (12:25) 40
1337: (12:25) 39
1338: (12:25) 39
1339: (12:25) 39
